business_name,street_address,city,state,zip_code,phone,website,hours,rating,review_count,categories,source_file
Lifted Beauty & Wellness,3300 E Union St,Seattle,WA,98122.0,+1 206-299-1102,http://www.liftedbeautyandwellness.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-7PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-4PM""], ""Sunday"": [""10AM-4PM""]}",4.8,39,"Medical spa, Facial spa, Spa",Generated by Outscraper ©
Intravene Mobile IV Therapy,600 1st Ave 1st Floor,Seattle,WA,98104.0,+1 206-887-0651,https://intravenewellnesstherapies.com/seattle/,"{""Monday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8AM-8PM""], ""Saturday"": [""8AM-8PM""], ""Sunday"": [""8AM-8PM""]}",5.0,307,IV therapy service,Generated by Outscraper ©
Prime IV Hydration & Wellness - South Lake Union Seattle,2121 Terry Ave Ste 100,Seattle,WA,98121.0,+1 206-489-3492,https://primeivhydration.com/locations/washington/south-lake-union-seattle-98121/,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-7PM""], ""Wednesday"": [""10AM-7PM""], ""Thursday"": [""10AM-7PM""], ""Friday"": [""10AM-7PM""], ""Saturday"": [""10AM-7PM""], ""Sunday"": [""10AM-4PM""]}",4.8,101,"IV therapy service, Medical spa, Wellness center",Generated by Outscraper ©
Prime IV Hydration & Wellness - Appleton,2100 S Kensington Dr,Appleton,WI,54915.0,+1 920-825-3802,https://primeivhydration.com/locations/wisconsin/appleton-54915/,"{""Monday"": [""8AM-6PM""], ""Tuesday"": [""8AM-6PM""], ""Wednesday"": [""8AM-6PM""], ""Thursday"": [""8AM-6PM""], ""Friday"": [""8AM-6PM""], ""Saturday"": [""8:30AM-5PM""], ""Sunday"": [""Closed""]}",5.0,184,IV therapy service,Generated by Outscraper ©
Revive Low T Clinic,11911 NE 132nd St Suite 103,Kirkland,WA,98034.0,+1 206-960-4770,https://revivelowtclinic.pharmacy/,"{""Monday"": [""12-4PM""], ""Tuesday"": [""7AM-4PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""6AM-3PM""], ""Friday"": [""7AM-12PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,157,"Medical clinic, Alternative medicine practitioner, Family planning center, Holistic medicine practitioner, Reproductive health clinic",Generated by Outscraper ©
"Best You Healthcare Solutions - IV Therapy, TRT, Weight Loss, DOT Certifications",39084 Proctor Blvd,Sandy,OR,97055.0,+1 971-438-4384,https://bestyouhcs.com/,"{""Monday"": [""9AM-3PM""], ""Tuesday"": [""9AM-3PM""], ""Wednesday"": [""9AM-3PM""], ""Thursday"": [""9AM-3PM""], ""Friday"": [""9AM-3PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,12,"Medical spa, Child health care center, Medical Center, Medical clinic, Women's health clinic, Reproductive health clinic, Weight loss service",Generated by Outscraper ©
Fresh IV Drips,73-38 178th St,Fresh Meadows,NY,11366.0,+1 516-276-0176,https://freshivdrips.com/,"{""Monday"": [""8AM-11:30PM""], ""Tuesday"": [""8AM-11:30PM""], ""Wednesday"": [""8AM-11:30PM""], ""Thursday"": [""8AM-11:30PM""], ""Friday"": [""8AM-11:30PM""], ""Saturday"": [""8AM-11:30PM""], ""Sunday"": [""8AM-11:30PM""]}",5.0,143,IV therapy service,Generated by Outscraper ©
Island Health,1211 24th St,Anacortes,WA,98221.0,+1 360-299-1300,https://www.islandhealth.org/,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",3.1,220,"Medical clinic, Emergency room, Hospital",Generated by Outscraper ©
Revive Low T Clinic,720 S 320th St Suite A,Federal Way,WA,98003.0,+1 206-960-4770,https://revivelowtclinic.pharmacy/,"{""Monday"": [""9AM-3PM""], ""Tuesday"": [""6AM-3PM""], ""Wednesday"": [""6AM-3PM""], ""Thursday"": [""Closed""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,90,"Reproductive health clinic, Blood testing service, Pharmacy",Generated by Outscraper ©
Flow Motion,1920 Main St #19,Ferndale,WA,98248.0,+1 360-393-8829,https://www.moveinflowmotion.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""Closed""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""9AM-5PM""]}",4.9,376,"Wellness center, Day spa, Gift shop, Massage therapist, Sauna, Spa, Yoga studio",Generated by Outscraper ©
Medivee & Live Well Aesthetics,747 W Nine Mile Rd,Ferndale,MI,48220.0,+1 248-439-0246,https://med-ivee.com/,"{""Monday"": [""11AM-3PM""], ""Tuesday"": [""11AM-6PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""11AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""11AM-3PM""], ""Sunday"": [""Closed""]}",4.9,123,"Medical spa, Health and beauty shop, Health spa, IV therapy service",Generated by Outscraper ©
Alpine Integrated Medicine,22635 NE Marketplace Dr Suite 130,Redmond,WA,98053.0,+1 425-949-5961,https://aim4healthnw.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-listing,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.4,57,"Wellness center, Acupuncture clinic, Doctor, Holistic medicine practitioner, Women's health clinic, Pain management physician, Sports medicine clinic, Weight loss service, Medical clinic",Generated by Outscraper ©
Zyra Clinic,17645 NE 69th Ct Suite 120,Redmond,WA,98052.0,+1 425-484-7722,http://www.zyraclinic.com/,"{""Monday"": [""10AM-8PM""], ""Tuesday"": [""10AM-8PM""], ""Wednesday"": [""10AM-8PM""], ""Thursday"": [""10AM-8PM""], ""Friday"": [""10AM-8PM""], ""Saturday"": [""8AM-5PM""], ""Sunday"": [""9AM-1PM""]}",5.0,52,Medical spa,Generated by Outscraper ©
The DRIPBaR Fairfield - IV Therapy,2246 Black Rock Tpke,Fairfield,CT,6825.0,+1 203-318-6560,https://fairfield.thedripbar.com/,"{""Monday"": [""10AM-4PM""], ""Tuesday"": [""10AM-4PM""], ""Wednesday"": [""12-6PM""], ""Thursday"": [""12-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""11AM-3PM""]}",5.0,214,"IV therapy service, Health spa, Medical spa, Weight loss service, Wellness center",Generated by Outscraper ©
Ethereal Aesthetics,2501 NE 134th St Ste 203,Vancouver,WA,98686.0,+1 360-852-1672,https://www.etherealaestheticsllc.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-5PM""], ""Wednesday"": [""10AM-5PM""], ""Thursday"": [""10AM-5PM""], ""Friday"": [""10AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,209,"Medical spa, Facial spa, Skin care clinic, Weight loss service, Wellness center",Generated by Outscraper ©
root infusions and wellness,25 Robert Dr suite c5,South Easton,MA,2375.0,+1 508-846-6622,http://www.rootinfusions.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""9AM-6PM""], ""Sunday"": [""9AM-6PM""]}",5.0,17,IV therapy service,Generated by Outscraper ©
InShapeMD Clinic,16150 NE 85th St #108,Redmond,WA,98052.0,+1 425-326-0900,https://www.ezinshape.com/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""9AM-2PM""], ""Sunday"": [""Closed""]}",4.4,43,"Medical office, Wellness program",Generated by Outscraper ©
VIO Med Spa,7430 164th Ave NE Suite B101,Redmond,WA,98052.0,+1 425-947-9770,https://www.viomedspa.com/locations/redmond,"{""Monday"": [""10AM-7PM""], ""Tuesday"": [""10AM-7PM""], ""Wednesday"": [""10AM-7PM""], ""Thursday"": [""10AM-7PM""], ""Friday"": [""10AM-5PM""], ""Saturday"": [""10AM-5PM""], ""Sunday"": [""Closed""]}",4.8,184,"Medical spa, Facial spa, Health and beauty shop, Wellness center",Generated by Outscraper ©
